horizon,model,cost_scenario,fee_bps,slippage_bps,include_spread,validation_macro_f1,accuracy,macro_f1,precision_down,precision_neutral,precision_up,recall_down,recall_neutral,recall_up,confusion_matrix,gross_pnl,net_pnl,sharpe_daily_annualized,sharpe_daily_observations,max_drawdown,turnover,hit_rate,number_of_trades,average_pnl_per_trade,active_fraction,test_rows
1,naive_majority,zero_cost,0.0,0.0,False,0.23237743373211353,0.7205895118587178,0.27920256667544896,0.0,0.7205895118587178,0.0,0.0,1.0,0.0,"[[0, 14534, 0], [0, 74710, 0], [0, 14435, 0]]",0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,103679
1,naive_majority,spread_only,0.0,0.0,True,0.23237743373211353,0.7205895118587178,0.27920256667544896,0.0,0.7205895118587178,0.0,0.0,1.0,0.0,"[[0, 14534, 0], [0, 74710, 0], [0, 14435, 0]]",0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,103679
1,naive_majority,realistic_low,0.5,0.25,True,0.23237743373211353,0.7205895118587178,0.27920256667544896,0.0,0.7205895118587178,0.0,0.0,1.0,0.0,"[[0, 14534, 0], [0, 74710, 0], [0, 14435, 0]]",0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,103679
1,naive_majority,realistic_base,1.0,0.5,True,0.23237743373211353,0.7205895118587178,0.27920256667544896,0.0,0.7205895118587178,0.0,0.0,1.0,0.0,"[[0, 14534, 0], [0, 74710, 0], [0, 14435, 0]]",0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,103679
1,naive_majority,stressed,2.0,1.0,True,0.23237743373211353,0.7205895118587178,0.27920256667544896,0.0,0.7205895118587178,0.0,0.0,1.0,0.0,"[[0, 14534, 0], [0, 74710, 0], [0, 14435, 0]]",0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,103679
1,ofi_threshold,zero_cost,0.0,0.0,False,0.3564365173563606,0.44705292296414895,0.32829213751143477,0.15190380761523045,0.7265791540446539,0.1466872599104986,0.2607678546855649,0.5200910186052737,0.2565985452026325,"[[3790, 7334, 3410], [17717, 38856, 18137], [3443, 7288, 3704]]",0.19657958975215462,0.19657958975215462,26.636735132854394,2,-0.05431677571753646,16538.0,0.4815641122686799,16133,1.2184937070114338e-05,0.4841964139314615,103679
1,ofi_threshold,spread_only,0.0,0.0,True,0.3564365173563606,0.44705292296414895,0.32829213751143477,0.15190380761523045,0.7265791540446539,0.1466872599104986,0.2607678546855649,0.5200910186052737,0.2565985452026325,"[[3790, 7334, 3410], [17717, 38856, 18137], [3443, 7288, 3704]]",0.19657958975215462,0.013628097210241519,29.52811302028592,2,-0.133595659875641,16538.0,0.4815641122686799,16133,8.447342224162598e-07,0.4841964139314615,103679
1,ofi_threshold,realistic_low,0.5,0.25,True,0.3564365173563606,0.44705292296414895,0.32829213751143477,0.15190380761523045,0.7265791540446539,0.1466872599104986,0.2607678546855649,0.5200910186052737,0.2565985452026325,"[[3790, 7334, 3410], [17717, 38856, 18137], [3443, 7288, 3704]]",0.19657958975215462,-1.2267219027897585,-20.430756832124136,2,-1.2270477194142138,16538.0,0.4815641122686799,16133,-7.603805261202247e-05,0.4841964139314615,103679
1,ofi_threshold,realistic_base,1.0,0.5,True,0.3564365173563606,0.44705292296414895,0.32829213751143477,0.15190380761523045,0.7265791540446539,0.1466872599104986,0.2607678546855649,0.5200910186052737,0.2565985452026325,"[[3790, 7334, 3410], [17717, 38856, 18137], [3443, 7288, 3704]]",0.19657958975215462,-2.4670719027897587,-20.62350613980089,2,-2.4671727194142115,16538.0,0.4815641122686799,16133,-0.0001529208394464612,0.4841964139314615,103679
1,ofi_threshold,stressed,2.0,1.0,True,0.3564365173563606,0.44705292296414895,0.32829213751143477,0.15190380761523045,0.7265791540446539,0.1466872599104986,0.2607678546855649,0.5200910186052737,0.2565985452026325,"[[3790, 7334, 3410], [17717, 38856, 18137], [3443, 7288, 3704]]",0.19657958975215462,-4.947771902789758,-20.72043961488551,2,-4.947771902789704,16538.0,0.4815641122686799,16133,-0.0003066864131153386,0.4841964139314615,103679
1,logistic_no_ofi,zero_cost,0.0,0.0,False,0.40791407620446657,0.6245527059481669,0.4178737229310007,0.23585679147308009,0.7758579023682939,0.24122535888453878,0.23751204073207652,0.7735109088475438,0.24329754069968826,"[[3452, 8404, 2678], [8552, 57789, 8369], [2632, 8291, 3512]]",0.09647479581343477,0.09647479581343477,13.798713046315598,2,-0.04608751202317063,34276.0,0.48874807330022263,23266,4.146600009173677e-06,0.28159029311625305,103679
1,logistic_no_ofi,spread_only,0.0,0.0,True,0.40791407620446657,0.6245527059481669,0.4178737229310007,0.23585679147308009,0.7758579023682939,0.24122535888453878,0.23751204073207652,0.7735109088475438,0.24329754069968826,"[[3452, 8404, 2678], [8552, 57789, 8369], [2632, 8291, 3512]]",0.09647479581343477,-0.33583582635094567,-51.133207310569944,2,-0.3390518564128628,34276.0,0.48874807330022263,23266,-1.4434618170332058e-05,0.28159029311625305,103679
1,logistic_no_ofi,realistic_low,0.5,0.25,True,0.40791407620446657,0.6245527059481669,0.4178737229310007,0.23585679147308009,0.7758579023682939,0.24122535888453878,0.23751204073207652,0.7735109088475438,0.24329754069968826,"[[3452, 8404, 2678], [8552, 57789, 8369], [2632, 8291, 3512]]",0.09647479581343477,-2.9065358263509458,-28.964559582421458,2,-2.906649008151196,34276.0,0.48874807330022263,23266,-0.00012492632280370264,0.28159029311625305,103679
1,logistic_no_ofi,realistic_base,1.0,0.5,True,0.40791407620446657,0.6245527059481669,0.4178737229310007,0.23585679147308009,0.7758579023682939,0.24122535888453878,0.23751204073207652,0.7735109088475438,0.24329754069968826,"[[3452, 8404, 2678], [8552, 57789, 8369], [2632, 8291, 3512]]",0.09647479581343477,-5.477235826350945,-28.214536428539734,2,-5.477235826350976,34276.0,0.48874807330022263,23266,-0.00023541802743707322,0.28159029311625305,103679
1,logistic_no_ofi,stressed,2.0,1.0,True,0.40791407620446657,0.6245527059481669,0.4178737229310007,0.23585679147308009,0.7758579023682939,0.24122535888453878,0.23751204073207652,0.7735109088475438,0.24329754069968826,"[[3452, 8404, 2678], [8552, 57789, 8369], [2632, 8291, 3512]]",0.09647479581343477,-10.618635826350946,-27.82016594124578,2,-10.618635826350864,34276.0,0.48874807330022263,23266,-0.00045640143670381444,0.28159029311625305,103679
1,logistic_all,zero_cost,0.0,0.0,False,0.4081021451608455,0.6248709960551317,0.41836521267024923,0.23682226334909864,0.7759134473408682,0.24170778508771928,0.23771845328195954,0.7737116851827065,0.2443366816764808,"[[3455, 8391, 2688], [8529, 57804, 8377], [2605, 8303, 3527]]",0.09359558791531553,0.09359558791531553,15.102844704653243,2,-0.041872619291409174,34212.0,0.4888797505226003,23238,4.02769549510782e-06,0.28145526094966195,103679
1,logistic_all,spread_only,0.0,0.0,True,0.4081021451608455,0.6248709960551317,0.41836521267024923,0.23682226334909864,0.7759134473408682,0.24170778508771928,0.23771845328195954,0.7737116851827065,0.2443366816764808,"[[3455, 8391, 2688], [8529, 57804, 8377], [2605, 8303, 3527]]",0.09359558791531553,-0.3364392747459915,-47.521480772704415,2,-0.340450578808545,34212.0,0.4888797505226003,23238,-1.4477978945950233e-05,0.28145526094966195,103679
1,logistic_all,realistic_low,0.5,0.25,True,0.4081021451608455,0.6248709960551317,0.41836521267024923,0.23682226334909864,0.7759134473408682,0.24170778508771928,0.23771845328195954,0.7737116851827065,0.2443366816764808,"[[3455, 8391, 2688], [8529, 57804, 8377], [2605, 8303, 3527]]",0.09359558791531553,-2.902339274745991,-28.871307099900417,2,-2.9024524565462366,34212.0,0.4888797505226003,23238,-0.00012489625934873874,0.28145526094966195,103679
1,logistic_all,realistic_base,1.0,0.5,True,0.4081021451608455,0.6248709960551317,0.41836521267024923,0.23682226334909864,0.7759134473408682,0.24170778508771928,0.23771845328195954,0.7737116851827065,0.2443366816764808,"[[3455, 8391, 2688], [8529, 57804, 8377], [2605, 8303, 3527]]",0.09359558791531553,-5.46823927474599,-28.190605918474322,2,-5.468239274746016,34212.0,0.4888797505226003,23238,-0.00023531453975152725,0.28145526094966195,103679
1,logistic_all,stressed,2.0,1.0,True,0.4081021451608455,0.6248709960551317,0.41836521267024923,0.23682226334909864,0.7759134473408682,0.24170778508771928,0.23771845328195954,0.7737116851827065,0.2443366816764808,"[[3455, 8391, 2688], [8529, 57804, 8377], [2605, 8303, 3527]]",0.09359558791531553,-10.600039274745988,-27.831275593645987,2,-10.600039274745921,34212.0,0.4888797505226003,23238,-0.0004561511005571042,0.28145526094966195,103679
1,lightgbm_all,zero_cost,0.0,0.0,False,0.3020018604608017,0.721428640322534,0.2912860632581891,0.4907749077490775,0.7224710170214416,0.5368852459016393,0.009150956378147791,0.997630839245081,0.00907516453065466,"[[133, 14367, 34], [98, 74533, 79], [40, 14264, 131]]",-0.01005574644422802,-0.01005574644422802,-9.744579768711212,2,-0.01358965873785467,990.0,0.4815533980582524,982,-1.024006766214666e-05,0.004967254699601655,103679
1,lightgbm_all,spread_only,0.0,0.0,True,0.3020018604608017,0.721428640322534,0.2912860632581891,0.4907749077490775,0.7224710170214416,0.5368852459016393,0.009150956378147791,0.997630839245081,0.00907516453065466,"[[133, 14367, 34], [98, 74533, 79], [40, 14264, 131]]",-0.01005574644422802,-0.02607243801312775,-14.80244929971577,2,-0.026969493839727594,990.0,0.4815533980582524,982,-2.655034420888773e-05,0.004967254699601655,103679
1,lightgbm_all,realistic_low,0.5,0.25,True,0.3020018604608017,0.721428640322534,0.2912860632581891,0.4907749077490775,0.7224710170214416,0.5368852459016393,0.009150956378147791,0.997630839245081,0.00907516453065466,"[[133, 14367, 34], [98, 74533, 79], [40, 14264, 131]]",-0.01005574644422802,-0.10032243801312775,-19.404225242417272,2,-0.10038662443335589,990.0,0.4815533980582524,982,-0.00010216134217222785,0.004967254699601655,103679
1,lightgbm_all,realistic_base,1.0,0.5,True,0.3020018604608017,0.721428640322534,0.2912860632581891,0.4907749077490775,0.7224710170214416,0.5368852459016393,0.009150956378147791,0.997630839245081,0.00907516453065466,"[[133, 14367, 34], [98, 74533, 79], [40, 14264, 131]]",-0.01005574644422802,-0.17457243801312772,-20.349028845836916,2,-0.1745724380131276,990.0,0.4815533980582524,982,-0.00017777234013556794,0.004967254699601655,103679
1,lightgbm_all,stressed,2.0,1.0,True,0.3020018604608017,0.721428640322534,0.2912860632581891,0.4907749077490775,0.7224710170214416,0.5368852459016393,0.009150956378147791,0.997630839245081,0.00907516453065466,"[[133, 14367, 34], [98, 74533, 79], [40, 14264, 131]]",-0.01005574644422802,-0.32307243801312774,-20.983559426368238,2,-0.3230724380131276,990.0,0.4815533980582524,982,-0.0003289943360622482,0.004967254699601655,103679
5,naive_majority,zero_cost,0.0,0.0,False,0.13630771041006398,0.3776935393637749,0.18276611286532105,0.0,0.3776935393637749,0.0,0.0,1.0,0.0,"[[0, 32192, 0], [0, 39157, 0], [0, 32325, 0]]",0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,103674
5,naive_majority,spread_only,0.0,0.0,True,0.13630771041006398,0.3776935393637749,0.18276611286532105,0.0,0.3776935393637749,0.0,0.0,1.0,0.0,"[[0, 32192, 0], [0, 39157, 0], [0, 32325, 0]]",0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,103674
5,naive_majority,realistic_low,0.5,0.25,True,0.13630771041006398,0.3776935393637749,0.18276611286532105,0.0,0.3776935393637749,0.0,0.0,1.0,0.0,"[[0, 32192, 0], [0, 39157, 0], [0, 32325, 0]]",0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,103674
5,naive_majority,realistic_base,1.0,0.5,True,0.13630771041006398,0.3776935393637749,0.18276611286532105,0.0,0.3776935393637749,0.0,0.0,1.0,0.0,"[[0, 32192, 0], [0, 39157, 0], [0, 32325, 0]]",0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,103674
5,naive_majority,stressed,2.0,1.0,True,0.13630771041006398,0.3776935393637749,0.18276611286532105,0.0,0.3776935393637749,0.0,0.0,1.0,0.0,"[[0, 32192, 0], [0, 39157, 0], [0, 32325, 0]]",0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,103674
