horizon,target,count,fraction
1,down,60703,0.11709751406740394
1,neutral,398000,0.7677513565857828
1,up,59694,0.11515112934681335
5,down,139573,0.2692416757170718
5,neutral,239741,0.4624695935323201
5,up,139079,0.2682887307506081
10,down,171734,0.33128467479957097
10,neutral,175516,0.3385803683727247
10,up,171138,0.33013495682770433
