horizon_seconds,strategy,accuracy,macro_f1,gross_pnl,net_pnl,sharpe,max_drawdown,turnover,trades
1,naive_majority,0.7205895118587178,0.27920256667544896,0.0,0.0,0.0,0.0,0.0,0
1,ofi_threshold,0.44705292296414895,0.32829213751143477,0.19657958975215462,-2.4670719027897587,-20.62350613980089,-2.4671727194142115,16538.0,16133
1,logistic_no_ofi,0.6245527059481669,0.4178737229310007,0.09647479581343477,-5.477235826350945,-28.214536428539734,-5.477235826350976,34276.0,23266
1,logistic_all,0.6248709960551317,0.41836521267024923,0.09359558791531553,-5.46823927474599,-28.190605918474322,-5.468239274746016,34212.0,23238
1,lightgbm_all,0.721428640322534,0.2912860632581891,-0.01005574644422802,-0.17457243801312772,-20.349028845836916,-0.1745724380131276,990.0,982
5,naive_majority,0.3776935393637749,0.18276611286532105,0.0,0.0,0.0,0.0,0.0,0
5,ofi_threshold,0.3443004031869128,0.3433288121691938,0.26981974850554313,-2.9577770893608477,-20.331613667627774,-2.9584292685158053,20058.0,19121
5,logistic_no_ofi,0.3913420915562243,0.39064454631122,0.24556475250155796,-10.854380629794816,-21.781673122051025,-10.854380629794797,68852.0,39824
5,logistic_all,0.39140961089569226,0.3907475598257621,0.21877780593983231,-10.838294878414436,-21.854461310466135,-10.838922219368193,68598.0,39710
5,lightgbm_all,0.4087620811389548,0.3518858873585708,0.1630911343039898,-4.650952648909609,-24.616595033559413,-4.652137135548859,29708.0,20341
10,naive_majority,0.26535671566925184,0.13980601274105472,0.0,0.0,0.0,0.0,0.0,0
10,ofi_threshold,0.34044256665509126,0.33905635733208284,0.27019420755262236,-2.9574026278956245,-20.332913835236347,-2.9584292685158053,20058.0,19121
10,logistic_no_ofi,0.3941814253192885,0.3732932126620217,0.3916946627013157,-11.711173432559962,-20.5589539798435,-11.71117343256001,75232.0,41046
10,logistic_all,0.39316857660994714,0.3725090199874615,0.3899409580497001,-11.54519195042975,-20.65053693712448,-11.545191950429736,74172.0,40510
10,lightgbm_all,0.3894258594744762,0.3652171213804938,0.32183958304897387,-7.909362931236433,-18.88359242135041,-7.910440946133704,51296.0,30087
